"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Apoo","structural protein","Component of MICOS complex; maintains crista junctions and inner mitochondrial membrane architecture; enhances mitochondrial respiration and fatty acid oxidation; promotes cholesterol efflux","Mitochondrial inner membrane proteins (MICOS complex); cholesterol; lipoproteins (HDL, LDL, VLDL)","Mitochondrial inner membrane; secreted (HDL/VLDL-associated)","Heart, liver, plasma; ubiquitous","Cardiomyocytes, macrophages, hepatocytes, cancer cells","Mitochondrial membrane architecture (MICOS); oxidative phosphorylation; fatty acid metabolism; cholesterol efflux; lipoprotein metabolism","Mitochondrial cristae disorganization; impaired crista junctions; cardiac lipotoxicity when overexpressed","Moderate","Mitochondrial dysfunction in neurons (indirect); cognitive impairment association (MCI studies)","No direct cerebellar GNP data; mitochondrial function essential for all neural cells","Breast cancer, endometrial cancer","Potentially oncogenic; promotes OXPHOS and fatty acid oxidation to fuel cancer cell growth","Diabetes (elevated in diabetic heart); acute coronary syndrome; mild cognitive impairment","Mitochondrial architecture must be maintained during metabolic switch in differentiating neurons","APOO/MIC26 is a MICOS complex component that maintains mitochondrial crista junctions and cristae architecture, with roles in cardiac lipid metabolism and energy homeostasis"
"Arhgap10","GTPase/regulator","GTPase-activating protein that inactivates RhoA and Cdc42 (GTP-bound to GDP-bound); inhibits PAK2 activity; stabilizes PAK-2p34 to promote apoptosis; coordinates endosomal tubule formation via MICAL1-WDR44","RhoA; Cdc42; PAK2/PAK-2p34; MICAL1; WDR44; PTKB2","Cytoplasm, cell membrane, endosomes","Ubiquitous; brain","Neurons, epithelial cells, fibroblasts, cancer cells","Rho GTPase signaling; actin cytoskeleton; cell adhesion; apoptosis (PAK-2p34); endosomal trafficking","Schizophrenia-like phenotype in double-hit mouse model (Arhgap10 S490P/NHEJ); altered spine density; cognitive dysfunction; RhoA/ROCK hyperactivation","Moderate (neurological)","Altered dendritic spine density; cognitive dysfunction; RhoA/ROCK activation in schizophrenia model","Schizophrenia-linked ARHGAP10 mutations associated with spine and cognitive phenotypes; no direct cerebellar GNP data","Lung cancer, colon cancer, ovarian cancer, gastric cancer, prostate cancer","Tumor suppressive; loss activates Cdc42/RhoA-driven proliferation, invasion, and glycolysis in cancer cells","Schizophrenia (copy number variants); cognitive dysfunction","Negative regulator of Rho GTPase activity limits cytoskeletal-driven proliferative signaling","ARHGAP10 is a RhoGAP tumor suppressor that inactivates RhoA/Cdc42 to limit cell migration, invasion, and glycolysis, and whose loss in mice causes schizophrenia-like dendritic spine defects"
"Arhgap21","GTPase/regulator","GTPase-activating protein for RHOA and CDC42; controls Golgi structure via ARF1 partnership; regulates adherens junctions via CTNNA1 recruitment; modulates hematopoietic stem cell adhesion and mobilization; controls beta-cell insulin secretion","RhoA; CDC42; ARF1; CTNNA1 (alpha-catenin); Claudin-2 PDZ complex; FAK","Golgi, cell membrane, endosomes","Ubiquitous; pancreas (beta cells), brain (nucleus accumbens, synapses), bone marrow","Hematopoietic stem/progenitor cells, beta cells, neurons, prostate cancer cells, macrophages","Rho GTPase signaling; Golgi morphology; adherens junctions; NMDAR-dependent synaptic plasticity; insulin secretion; hematopoiesis","Haploinsufficiency: increased HSPC frequency, impaired adhesion, increased mobilization, decreased engraftment; systemic phenotype","Moderate","Synaptic morphology changes in NAc; NMDA receptor-driven actin remodeling impaired; learning deficits in aversive paradigms","Expressed at synapses; regulates spine morphology via NMDAR-Rho signaling; no direct cerebellar GNP data","Prostate cancer, cholangiocarcinoma, glioblastoma, breast cancer (liver metastasis via Claudin-2)","Context-dependent; oncogenic in some (prostate), associated with Golgi-mediated trafficking in breast cancer metastasis","Schizophrenia/synaptic plasticity (indirect); learning and aversive memory","Rho GTPase inactivation shapes cytoskeletal polarity changes during progenitor differentiation","ARHGAP21 inactivates RhoA and CDC42 to control Golgi morphology, adherens junctions, and synaptic actin remodeling, with roles in hematopoiesis and NMDA receptor-dependent learning"
"Arhgap26","GTPase/regulator","GTPase-activating protein for RHOA and CDC42; promotes Parkin-dependent mitophagy at damaged mitochondria; participates in endosomal tubule formation; forms oncogenic CLDN18-ARHGAP26 fusion in gastric cancer","RhoA; CDC42; Parkin/PINK1; MICAL1; WDR44","Cytoplasm, endosomes, mitochondria (mitophagy recruitment)","Ubiquitous; cerebellum (Purkinje cells), stomach, ovary, ductus arteriosus","Purkinje cells, gastric epithelium, ovarian cancer cells, vascular smooth muscle","Rho GTPase signaling; mitophagy (Parkin recruitment); endosomal trafficking; ductus arteriosus tone","Impaired mitophagy; RhoA/CDC42 hyperactivation; vascular tone dysregulation","Moderate","Autoimmune cerebellar ataxia (anti-Ca/ARHGAP26 antibody targeting Purkinje cells); cerebellar function","Purkinje cell-specific autoantigen (anti-Ca antibody); expressed in Purkinje cells; limited GNP-specific data","Gastric cancer (CLDN18-ARHGAP26 fusion, diffuse type), ovarian cancer","Tumor suppressive (gastric cancer, ovarian cancer); CLDN18-ARHGAP26 oncogenic fusion activates Rho signaling","Anti-ARHGAP26/anti-Ca cerebellar ataxia; paraneoplastic cerebellar syndrome","Promotes differentiation-associated cytoskeletal remodeling via RhoA inactivation","ARHGAP26 is a RhoGAP tumor suppressor that also serves as a Purkinje cell autoantigen in cerebellar ataxia, and forms an oncogenic CLDN18 fusion in diffuse gastric cancer"
"Arhgap5","GTPase/regulator","GTPase-activating protein for Rho family GTPases (broad specificity); negative regulator of Rho signaling; p190 RhoGAP; regulates trophoblast invasion and GnRH neuronal migration","Rho GTPases (RhoA, Rac1, Cdc42)","Cytoplasm, cell membrane","Ubiquitous; brain, gonad, trophoblast","Neurons (GnRH neurons), trophoblasts, epithelial cells, cancer cells","Rho GTPase signaling; actin cytoskeleton; GnRH neuron migration (IHH); trophoblast invasion","Idiopathic hypogonadotropic hypogonadism (IHH) when mutated; impaired GnRH neuron migration; preeclampsia association","Moderate (developmental)","Impaired GnRH neuron migration; IHH; neural migration defects","No direct cerebellar GNP data; expressed in brain; GnRH neuron migration role","Gastric cancer (significantly mutated gene), ovarian cancer (bioinformatics), bladder cancer, hepatocellular carcinoma, lung cancer","Tumor suppressive; loss activates Rho-driven invasion and cancer progression","Idiopathic hypogonadotropic hypogonadism; cerebral ischemia/reperfusion injury (circRNA)","Rho GTPase inactivation during cytoskeletal remodeling in differentiating neurons","ARHGAP5/p190B RhoGAP inactivates Rho GTPases to control neuronal migration and is significantly mutated in gastric cancer as a tumor suppressor"
"Arhgef40","GTPase/regulator","Guanine nucleotide exchange factor (GEF) for RHOA and RHOC; activates RhoA/ROCK signaling; promotes stress fiber formation, keratin filament organization, hemidesmosome formation, and collective cell migration via mechanotransduction","RhoA; RhoC; KRT8; KRT18; JUP; endosomal RhoB","Cytoplasm, endosomes, hemidesmosomes, cell-cell junctions","Epithelial tissues, endothelium, lung, breast, cerebellum (bioinformatics)","Epithelial cells, endothelial cells, cancer cells, fibroblasts","RhoA/ROCK signaling; mechanotransduction; stress fiber formation; keratin filament organization; hemidesmosome assembly; collective cell migration; endosomal RhoB regulation","NA (mouse KO not well characterized)","Unknown","No direct published cerebellar GNP phenotype data","No direct cerebellar GNP data; expressed in brain (neuroblastoma GWAS)","Non-small cell lung cancer (overexpressed, poor prognosis), melanoma, neuroblastoma (GWAS)","Oncogenic in NSCLC; promotes invasion via RhoA/ROCK and EMT; upregulated in breast cancer EMT","NA","Mechanosensitive RhoA activation may regulate cytoskeletal remodeling during GNP differentiation","ARHGEF40/Solo is a mechanosensitive RhoA/RhoC GEF that drives stress fiber formation, epithelial polarity, and collective cell migration, and is overexpressed as an oncogene in non-small cell lung cancer"
"Atl2","GTPase/regulator","GTP-dependent fusion of ER membranes; maintains tubular ER network three-way junctions","GTP","ER membrane","ubiquitous; enriched in brain, liver, breast","fibroblasts, hepatocytes, neurons","ER homeostasis, autophagy (autophagosome initiation), ER-phagy","abnormal ER morphology, lipid droplet defects (mouse breast tissue)","moderate","NA","NA","breast cancer, hepatocellular carcinoma (NAFLD/HCC), KSHV-related","context-dependent; ATL2 dysregulation linked to cancer; role in ER homeostasis supporting tumor cell survival","NA","ER membrane remodeling required during cell size increase at differentiation onset","ER-resident dynamin-related GTPase that fuses ER tubules to maintain the reticular ER network, implicated in autophagosome initiation and lipid droplet biogenesis"
"Atp2b1","transporter","ATP-driven Ca2+ extrusion from cytoplasm to extracellular space; maintains intracellular Ca2+ homeostasis","ATP, Ca2+","plasma membrane","ubiquitous; vascular smooth muscle, intestine, bone, kidney, brain","neurons, smooth muscle cells, osteoclasts, T cells","Ca2+ signaling, nitric oxide/NOS3 pathway, RANKL osteoclast pathway, AKT/insulin signaling","hypotension, impaired bone mineralization, altered insulin sensitivity","moderate","global developmental delay, hypotonia (human ATP2B1 variants)","expressed in brain including cerebellum","hypertension GWAS locus; lung adenocarcinoma (AS1 lncRNA)","tumor suppressive context via Ca2+ homeostasis; lncRNA ATP2B1-AS1 dysregulated in multiple cancers","calmodulinopathy-related; neurodevelopmental disorder with ATP2B1 variants; Alzheimer's disease Ca2+ dysregulation","Ca2+ extrusion important for neuronal activity regulation during differentiation","Plasma membrane Ca2+-ATPase that extrudes cytoplasmic Ca2+; mutations cause neurodevelopmental delay and it is a hypertension GWAS locus"
"Atxn1","transcription factor","Chromatin-binding transcriptional co-repressor; represses Notch signaling; RNA metabolism","CBF1/RBPJ, NCOR2, CIC, ATXN1L","nucleus","brain (Purkinje cells, brainstem, cerebellum), ubiquitous","Purkinje neurons, motor neurons, neural progenitors","Notch repression, CIC-ATXN1 transcriptional regulation, RNA processing","cerebellar ataxia (SCA1 polyQ expansion); loss-of-function increases Alzheimer's risk and promotes tumorigenesis","severe (SCA1)","spinocerebellar ataxia type 1 (SCA1); motor neuron loss in brainstem/spinal cord; Alzheimer's disease risk","strong cerebellar expression; Purkinje cell degeneration in SCA1; cerebellar development role with CIC","prostate cancer, T-cell leukemia/lymphoma (CIC-ATXN1 complex disruption), soft tissue sarcoma (CIC-DUX4), oral SCC","tumor suppressor (loss promotes tumorigenesis); CIC-ATXN1 complex disrupted in multiple cancers","SCA1 (polyQ expansion gain-of-function); Alzheimer's disease (loss-of-function); multiple sclerosis susceptibility locus","represses Notch target genes; required for proper cerebellar circuit formation","Chromatin-binding Notch co-repressor whose polyQ expansion causes SCA1 cerebellar degeneration and whose loss promotes tumorigenesis"
"Atxn7l3","scaffold/adaptor","Non-catalytic adaptor of the SAGA DUB module; recruits USP22 and ENY2 for H2B deubiquitination; regulates H2Bub1 levels","H2Bub1 (histone H2B monoubiquitin), H2Aub","nucleus","ubiquitous","neural progenitors, cancer cell lines, proliferating cells","SAGA complex, H2B deubiquitination, transcription regulation, DNA repair, cell cycle progression","neurodevelopmental disorder (autosomal dominant): global developmental delay, hypotonia, speech impairment","moderate-severe","neurodevelopmental disorder: developmental delay, hypotonia, speech impairment","NA","B-ALL (genomic driver), cervical cancer, hepatocellular carcinoma","oncogenic context; promotes H2Bub1 removal facilitating cancer-associated transcriptional programs","autosomal dominant neurodevelopmental disorder (ATXN7L3 variants)","obligate adaptor for SAGA DUB module activity; controls H2Bub1 levels to regulate transcription during proliferation","Obligate adaptor subunit of the SAGA DUB module that activates USP22-mediated H2B deubiquitination and regulates global H2Bub1 levels"
"Avpi1","other","May activate MAP kinase signaling; down-regulates epithelial sodium channel (ENaC); may regulate cell cycle","ENaC (epithelial Na channel)","cytoplasm/membrane","kidney, embryonic tissues","epithelial cells, early embryo cells","MAP kinase signaling, vasopressin/AVP pathway, cell cycle regulation","NA","NA","NA","NA","melanoma (differential methylation)","possibly epigenetically silenced in melanoma","NA","cell cycle regulation during proliferation","Vasopressin-induced gene with putative roles in MAP kinase activation, ENaC down-regulation, and cell cycling"
